ProductID,Status,Description,Category,StdAccountingCost,SKU,ItemPrice,UnitOfMeasure,WeightPerUnit,DoesGetBuilt,MSQ,AllocatedDoneDate,OnOrderUnits,RawConsumption,BuildOutToDays,RawConsumption,UPC
10038,Active,Calcium Carbonate 4oz,Sell-Powder,1.21,CaCO4oz,7.79,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997351
10039,Active,CALCIUM CARBONATE FOOD GRADE (50 LBS),RAW BULK,27.35,,,pound,50,0,2,,0,50,,50,
10040,Active,Cassia Essential Oil (15 ml) POI,Sell-Essential Oils,0.49,CaEO15mL,8.95,ml,2,1,,1/8/2018,0,,31,,16463996989
10041,Active,Calcium Sulfate (11 oz) POI,Sell-Powder,1.38,CaS11oz,8.99,oz,11,1,,1/8/2018,0,0.6875,31,0.6875,16463997290
10042,Active,Calcium Sulfate (2 lb) POI,Sell-Powder,2.29,CaS32oz,12.99,oz,32,1,,1/8/2018,0,2,31,2,16463997306
10043,Active,Calcium Sulfate (4 oz) POI,Sell-Powder,1.18,CaS4oz,8.49,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997283
10044,Active,Calcium Chloride (1 lb.) POI,Sell-Powder,1.8,Calchlor16oz,10.25,oz,16,1,,1/8/2018,0,1,31,1,16463997672
10045,Active,Calcium Chloride (2 lb.) POI,Sell-Powder,2.35,Calchlor32oz,11.95,oz,32,1,,1/8/2018,0,2,31,2,16463997689
10046,Active,Calcium Chloride (4 oz.) POI,Sell-Powder,1.17,Calchlor4oz,5.25,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997634
10047,Active,Lye (Tub 2 lb) POI (Check RET Inventory and KILL),Sell-Tub,3.07,Causticsoda32oz,15.95,oz,32,1,,1/8/2018,0,2,31,2,16463998396
10048,Active,Citric Acid (5 lb) POI,Sell-Powder,7.09,Citirc80oz,17.25,oz,80,1,,1/8/2018,0,5,31,5,16463996378
10049,Active,Citric Acid (11 oz) POI,Sell-Powder,1.79,Citric11OZP,6.55,oz,11,1,,1/8/2018,0,0.6875,31,0.6875,16463996422
10050,Active,Citric Acid (16 oz) POI,Sell-Powder,2.38,Citric16OZP,8.95,oz,16,1,,1/8/2018,0,1,31,1,16463997573
10051,Active,Citric Acid (2 lb) POI,Sell-Powder,3.57,Citric32oz,11.15,oz,32,1,,1/8/2018,0,2,31,2,16463997207
10052,Active,Citric Acid (4 oz) POI,Sell-Powder,1.3,Citric4OZ,5.75,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463996385
10054,Active,Citric Acid (2 lb Tub) EBE,Sell-Powder,4.81,CitricAcidtub32oz,15,oz,32,1,,1/8/2018,0,2,31,2,16463998501
10055,Active,Corn Starch (1 lb) POI,Sell-Powder,1.76,CornSt16oz,9.5,oz,16,1,,1/8/2018,0,1,31,1,16463997498
10056,Active,Corn Starch (2 lb) POI,Sell-Powder,2.68,CornSt32oz,10.95,oz,32,1,,1/8/2018,0,2,31,2,16463997504
10057,Active,Corn Starch (3 lb) POI,Sell-Powder,3.48,CornSt48oz,14.95,oz,48,1,,1/8/2018,0,3,31,3,16463997917
10058,Active,Corn Starch (4 oz) POI,Sell-Powder,1.2,CornSt4oz,5.99,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997474
10059,Active,Corn Starch (8 oz) POI,Sell-Powder,1.38,CornSt8oz,6.95,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463997481
10060,Active,Cream of Tartar (1 lb) POI,Sell-Powder,4.1,CreamofTartar16oz,11.95,oz,16,1,,1/8/2018,0,1,31,1,16463997993
10061,Active,Cream of Tartar (2 lb.) POI,Sell-Powder,7.29,CreamofTartar32oz,16.95,oz,32,1,,1/8/2018,0,2,31,2,16463998006
10062,Active,Cream of Tartar (5 lb.) POI,Sell-Powder,16.39,CreamofTartar80oz,34.95,oz,80,1,,1/8/2018,0,5,31,5,16463998013
10063,Active,Copper Sulfate (1 lb) POI (Check RET Inventory and KILL),Sell-Powder,3.75,CuSO16oz,14.25,oz,16,1,,1/8/2018,0,1,31,1,16463997443
10064,Active,Copper Sulfate (2 lb) POI (Kill),Sell-Powder,6.59,CuSO32oz,18.25,oz,32,1,,1/8/2018,0,2,31,2,16463997450
10065,Active,Copper Sulfate (5 lb) POI (Kill),Sell-Powder,14.68,CuSO80oz,29.95,oz,80,1,,1/8/2018,0,5,31,5,16463997467
10066,Active,Copper Sulfate (8 oz) POI (Check RET Inventory and KILL),Sell-Powder,2.34,CuSO8oz,7.95,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463997436
10067,Active,Diatomaceous Earth (1 lb) POI,Sell-Powder,1.7,DE16oz,17.99,oz,16,1,,1/8/2018,0,1,31,1,16463997412
10068,Active,Diatomaceous Earth (4 oz) POI,Sell-Powder,1.5,DE4oz,15.99,oz,4,1,,8/8/2018,0,0.25,31,0.25,16463997399
10069,Active,Douglas Fir 5ml,Sell-Essential Oils,6.5,DFEO5mL,13.99,ml,1.5,1,,1/8/2018,0,,31,,16463996965
10070,Active,Dishwasher Cleaner & Detergent Booster (2 lb Tub) POI,Sell-Powder,4.93,DishwasherCleaner32oz,14.95,oz,32,1,,1/8/2018,0,2,31,2,16463998280
10071,Active,Epsom Salt (1 lb) POI,Sell-Powder,1.86,EpSalt16oz,10.5,oz,16,1,,1/8/2018,0,1,31,1,16463997931
10072,Active,Epsom Salt (4 oz) POI,Sell-Powder,1.18,EpSalt4oz,6.75,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997924
10073,Active,Epsom Salt (5 lb) POI,Sell-Powder,4.3,EpSalt80oz,18.5,oz,80,1,,1/8/2018,0,5,31,5,16463997948
10074,Active,Fennel Oil (15 ml) POI,Sell-Essential Oils,0.47,FenEO15mL,7.99,ml,2,1,,1/8/2018,0,,31,,16463997184
10075,Active,Geranium Essential Oil (15 ml) POI,Sell-Essential Oils,0.51,GEO15mL,9.99,ml,2,1,,1/8/2018,0,,31,,16463996958
10076,Active,Grapefruit Oil 15ml,Sell-Essential Oils,0.48,GFEO15ml,8.85,ml,2,1,0,1/8/2018,0,1,31,1,16463996910
10077,Active,Glycerin (Half Gallon 64 fl oz) POI,Sell-Liquid Bottles F-Style,7.39,Glycerin 64oz,19.75,oz,64,1,,1/8/2018,0,5,31,5,16463998198
10078,Active,Glycerin (16 fl oz Weight 23 oz) POI,Sell-Liquid Bottles F-Style,2.75,Glycerin16oz,11.75,oz,16,1,,1/8/2018,0,1.3125,31,1.3125,16463997818
10079,Active,(REDUCE PRICE) Honey 20oz,Sell-Liquid Bottles F-Style,9.79,Honey20oz,18.49,oz,20,0,,1/8/2018,0,1.25,31,1.25,16463998112
10080,Active,Silverton TWIN 1133,Mattress,,IWC1133,199.94,ea,,0,,1/8/2018,0,,,,7.36314E+11
10081,Active,Silverton TWIN 1133xl,Mattress,,IWC1133XL,199.98,ea,,0,,1/8/2018,0,1,,1,7.36314E+11
10082,Active,Silverton FULL 1146,Mattress,,IWC1146,218.76,ea,,0,,1/8/2018,0,,,,7.36314E+11
10083,Active,Silverton QUEEN 1150,Mattress,,IWC1150,336,ea,,0,,1/8/2018,0,,,,7.36314E+11
10084,Active,Silverton CAL 1160,Mattress,,IWC1160,462.87,ea,,0,,1/8/2018,0,,,,7.36314E+11
10085,Active,Silverton KING 1166,Mattress,,IWC1166,490,ea,,0,,1/8/2018,0,1,,1,7.36314E+11
10086,Active,Juniper Berry (5 ml) POI,Sell-Essential Oils,0.47,JBEO5ml,8.45,ml,1.5,1,,1/8/2018,0,,31,,16463998532
10087,Active,Lime Essential Oil (15 ml) POI,Sell-Essential Oils,0.47,LEO15ml,7.99,ml,2,1,0,1/8/2018,0,1,31,1,16463997559
10088,Active,Lemongrass Essential Oil (15 ml) POI,Sell-Essential Oils,0.46,LGEO15mL,7.86,ml,2,1,0,1/8/2018,0,1,31,1,16463996927
10089,Active,Monosodium Phosphate (2 lb) POI,Sell-Powder,6.2,MSP32oz,20.99,oz,32,1,,1/8/2018,0,2,31,2,16463997092
10090,Active,Monosodium Phosphate (4 oz) POI,Sell-Powder,1.71,MSP4oz,8.75,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997085
10091,Active,MONOSOD PHOS ANHY GRADE:NSF (50 LBS),RAW BULK,120.82,,,pound,50,0,0,,0,50,,50,
10092,Active,DL Malic (2 lb) POI,Sell-Powder,3.44,Malic24oz,11.99,oz,24,1,,1/8/2018,0,1.5,31,1.5,16463997139
10093,Active,DL Malic Acid (4 oz) POI,Sell-Powder,1.38,Malic4oz,6.5,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997115
10094,Active,Methylcellulose (16 oz) POI,Sell-Powder,12.39,Methylcell16oz,22.99,oz,16,1,,1/8/2018,0,1,31,1,16463998167
10096,Active,Mineral Oil (16 oz) POI,Sell-Liquid Bottles F-Style,3.4,POIMineraloil16oz,12.5,oz,16,1,,1/8/2018,0,1,31,1,16463998594
10097,Active,Mineral Oil (8 oz) POI,Sell-Liquid Bottles F-Style,2.3,POIMineraloil8oz,8.75,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463998587
10099,Active,Washing Soda (1 lb) POI,Sell-Powder,1.73,NWS16oz,10.05,oz,16,1,,1/8/2018,0,1,31,1,16463997580
10100,Active,Washing Soda (2 lb) POI,Sell-Powder,3.67,NWS32oz,11.95,oz,32,1,,1/8/2018,0,2,31,2,16463997030
10101,Active,Washing Soda (4 oz) POI,Sell-Powder,1.32,NWS4oz,6.25,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997016
10102,Active,Washing Soda (5 lb) POI,Sell-Powder,3.73,NWS80oz,16.25,oz,80,1,,1/8/2018,0,5,31,5,16463997047
10103,Active,Oregano Essential Oil (15 ml) POI,Sell-Essential Oils,0.51,OreganoEO15ml,9.99,ml,2,1,0,1/8/2018,0,1,31,1,16463998525
10104,Active,Oxalic Acid 11oz (RET),Sell-Powder,1.6,Oxalic11oz,7.95,oz,11,1,,1/8/2018,0,0.6875,31,0.6875,16463996897
10105,Active,Oxalic Acid 32oz (RET),Sell-Powder,2.73,Oxalic32oz,13.75,oz,32,1,,1/8/2018,0,2,31,2,16463996903
10106,Active,Oxalic Acid (4 oz) POI (RET),Sell-Powder,1.22,Oxalic4oz,5.99,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463996880
10107,Active,OXALIC ACID (55 LBS) (RET),RAW BULK,37.0487,Oxalic55lb,275,pound,55,0,2,,0,55,,55,16463997832
10108,Active,Portland Cement 16oz,Sell-Powder,1.8,PortCem16oz,16.99,oz,16,1,,1/8/2018,0,1,31,1,16463997528
10109,Active,Portland Cement 80oz,Sell-Powder,3.4,PortCem80oz,20.95,oz,80,1,,1/8/2018,0,5,31,5,16463997542
10110,Active,Portland Cement 8oz,Sell-Powder,1.16,PortCem8oz,6.95,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463997511
10111,Active,Potassium Bicarbonate 16oz,Sell-Powder,3.3,PotBio160z,13,oz,16,1,,1/8/2018,0,1,31,1,16463997702
10112,Active,Potassium Bicarbonate 32oz,Sell-Powder,5.36,PotBio32oz,15.25,oz,32,1,,1/8/2018,0,2,31,2,16463997719
10113,Active,Potassium Bicarbonate 4oz,Sell-Powder,1.53,PotBio4oz,7.49,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997696
10114,Active,Propylene Glycol (16 oz.) POI,Sell-Liquid Bottles F-Style,2.9,Propyleneglycol16oz1lb,11.25,pound,16,1,,,0,1,31,1,16463997795
10115,Active,Propylene Glycol (64 oz.) POI,Sell-Liquid Bottles F-Style,7.88,Propyleneglycol64,19.75,oz,64,1,,1/8/2018,0,4,31,4,16463998273
10116,Active,Propylene Glycol (8 oz.) POI,Sell-Liquid Bottles F-Style,1.99,Propyleneglycol8oz.5lb,7.05,pound,8,1,,1/8/2018,0,0.5,31,0.5,16463997788
10117,Active,Coconut Oil (1 Gallon Bucket 8 lb) POI,Sell-Liquid Bottles F-Style,19.67,POIRCocOil128oz,39.99,oz,128,1,,1/8/2018,0,10,31,10,16463998426
10118,Active,Coconut Oil (16 oz) POI (,Sell-Liquid Bottles F-Style,3.34,POIRCocOil14oz,10.99,oz,14,1,,1/8/2018,0,0.875,31,0.875,16463998419
10119,Active,Rosemary Essential Oil (15 ml) POI,Sell-Essential Oils,0.47,RMEO15mL,8.99,ml,2,1,0,1/8/2018,0,1,31,1,16463997191
10120,Active,SLSA - LATHANOL COARSE (200 LBS),RAW BULK,1102,SLSA200lb,1098,,200,0,0.25,,0,200,,200,
10121,Active,SLSA (11 oz.) POI,Sell-Powder,5.26,SLSA11oz,13.5,oz,11,1,,1/8/2018,0,0.6875,31,0.6875,16463996675
10122,Active,SLSA (1 lb.) POI,Sell-Powder,7.2,SLSA16oz,19.45,oz,16,1,,1/8/2018,0,1,31,1,16463996682
10123,Active,SLSA (2 lb.) POI,Sell-Powder,12.98,SLSA32oz,27.99,oz,32,1,,1/8/2018,0,2,31,2,16463996996
10124,Active,SLSA (3 lb.) POI,Sell-Powder,18.8,SLSA48oz,37.99,oz,48,1,,1/8/2018,0,3,31,3,16463997009
10125,Active,SLSA (4 oz.) POI,Sell-Powder,2.5,SLSA4OZ,9.5,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463996651
10126,Active,Sodium Propionate (2 lb) POI,Sell-Powder,4.93,SProp32oz,15.25,oz,32,1,,1/8/2018,0,2,31,2,16463996828
10127,Active,Sodium Propionate (8 oz) POI,Sell-Powder,1.89,SProp8oz,7.99,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463996811
10128,Active,Sodium Tripolyphosphate (1 lb) POI,Sell-Powder,3.13,STTP16OZ,12.95,oz,16,1,,1/8/2018,0,1,31,1,16463996439
10129,Active,Sodium Tripolyphosphate (2.5 lb) POI,Sell-Powder,6.2,STTP40OZ,18.95,oz,40,1,,1/8/2018,0,2.5,31,2.5,16463996446
10130,Active,Sodium Tripolyphosphate (8 oz) POI,Sell-Powder,2.03,STTP8OZ,7.5,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463996453
10131,Active,Salicylic Acid (4 oz.) POI,Sell-Powder,1.84,SalA4oz,8.5,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997313
10132,Active,Pure Soap 16oz,Sell-Powder,2.52,Soap16OZ,10.99,oz,16,1,,1/8/2018,0,1,31,1,16463996521
10133,Active,Pure Soap 48oz,Sell-Powder,5.04,Soap48OZ,17.45,oz,48,1,,1/8/2018,0,3,31,3,16463996538
10135,Active,Pure Soap 8oz,Sell-Powder,1.6,Soap8OZ,6.95,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463996514
10136,Active,Sodium Percarbonate (2 lb. tub) EBE (RET),Sell-Tub,4.55,SodCarbPerox32oz,22.75,oz,32,1,,1/8/2018,0,2,31,2,16463998266
10137,Active,Sodium Metasilicate (Tub 2 lb) EBE (Check RET Inventory and KILL),Sell-Tub,4.46,SodMeta32oz,14.95,oz,32,1,,1/8/2018,0,2,31,2,16463998242
10138,Active,Sodium Bicarbonate (1 lb) POI,Sell-Powder,1.77,SodiumBicarb16oz,12.25,oz,16,1,,1/8/2018,0,1,31,1,16463997764
10139,Active,Sodium Bicarbonate (2 lb) POI,Sell-Powder,2.19,SodiumBicarb32oz,13.85,oz,32,1,,1/8/2018,0,2,31,2,16463997771
10140,Active,Sodium Bicarbonate (4 oz) POI,Sell-Powder,1.13,SodiumBicarb4oz,5.95,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997757
10142,Active,Titanium Dioxide 4oz,Household Cleaners,1.7,TIO4oz,6.75,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463996774
10143,Active,TITANIUM DIOXIDE (B/O 14 DAY LEAD TIME) (50 LBS),RAW BULK,169.7559,TIO55lb,350,pound,50,0,2,,0,50,,50,16463998358
10144,Active,Titanium dioxide 16oz,Household Cleaners,3.96,TiO16oz,11.99,oz,16,1,,1/8/2018,0,1,31,1,16463996798
10145,Active,Titanium Dioxide (1.5 lb.) POI,Household Cleaners,5.4,TiO24oz,15.5,oz,24,1,,1/8/2018,0,1.5,31,1.5,16463996804
10146,Active,Titanium Dioxide 8oz,Household Cleaners,2.45,TiO8oz,9.95,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463996781
10147,Active,Vetiver Oil 15ml,Sell-Essential Oils,0.54,Vetiver15mL,11.75,ml,2,1,,1/8/2018,0,,31,,16463997245
10148,Active,Wintergreen Essential Oil (15 ml) POI,Sell-Essential Oils,0.48,WGEO15mL,8.49,ml,2,1,,1/8/2018,0,,31,,16463997160
10150,Active,Bluetooth Headphones Black,ReSALE,0.02,WrlsHdphnBLK,19.99,ea,2,0,,1/8/2018,0,,,,16463998648
10151,Active,Bluetooth Headphones Blue,ReSALE,0.02,WrlsHdphnBLU,19.99,ea,2,0,,1/8/2018,0,,,,7.42309E+11
10152,Active,Bluetooth Headphones Red,ReSALE,0.02,WrlsHdphnRED,19.99,ea,2,0,,1/8/2018,0,,,,16463998631
10153,Active,Bluetooth Headphones Silver,ReSALE,0.02,WrlsHdphnSLV,19.99,ea,2,0,,1/8/2018,0,,,,16463998624
10154,Active,Ylang Ylang Essential Oil (15 ml) POI,Sell-Essential Oils,2.45,YlangYlangEO15ml,9.99,ml,2,1,,1/8/2018,0,,31,,16463997566
10155,Active,Zinc Oxide (1 lb) POI,Sell-Powder,3.7,ZO16OZ,11.5,oz,16,1,,1/8/2018,0,1,31,1,16463997344
10156,Active,Zinc Oxide (1.5 lb) POI,Sell-Powder,4.93,ZO24OZ,15.5,oz,24,1,,1/8/2018,0,1.5,31,1.5,16463996484
10157,Active,Zinc Oxide (4 oz) POI,Sell-Powder,1.6,ZO4OZ2,5.99,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463996491
10158,Active,Zinc Oxide (8 oz) POI,Sell-Powder,2.21,ZO8OZ,7.95,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463996477
10159,Active,ZINC OXIDE ZOCO 112 (55 LBS),RAW BULK,120.23,,,pound,55,0,0,,20,55,,55,
10161,Active,Vitamin C (4 oz) POI,Sell-Powder,1.37,AscAcid4oz,6.49,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463998310
10162,Active,Vitamin C (5 lb) POI (KILL),Sell-Powder,27.11,AscAcid80oz,49.95,oz,80,1,,1/8/2018,0,5,31,5,16463998341
10164,Active,Calcium Oxide (2 lb) POI (RET),Sell-Powder,2.16,CO32oz,14.95,oz,32,1,,1/8/2018,0,2,31,2,16463997078
10168,Active,(KILL) Citric Acid2 Sucralose Fine(2nd purchase)(clumps),RAW BULK,54.59,CitricAcid50lb,185,pound,50,0,0,,0,50,,50,16463998105
10169,Active,Cream of Tartar (4 oz.) POI,Sell-Powder,1.78,CreamofTartar4oz,7.5,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463997986
10170,Active,Diatomaceous Earth (2 oz) POI,Sell-Powder,1.25,DE2oz,14.5,oz,2,1,,1/8/2018,0,0.125,31,0.125,16463997429
10171,Active,EDTA 16oz,Sell-Powder,7.55,EDTA16oz,26.99,oz,16,1,,1/8/2018,0,1,31,1,16463998303
10172,Active,EDTA 4oz,Sell-Powder,2.59,EDTA4oz,10.49,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463998297
10173,Active,Frac Coco Oil 128oz,Sell-Liquid Bottles F-Style,4.85,FracCoconutOil128oz,60,oz,128,1,,1/8/2018,0,,31,,16463998099
10174,Active,Frac Coco Oil 16oz,Sell-Liquid Bottles F-Style,1.98,FracCoconutOil16oz,10.95,oz,16,1,,1/8/2018,0,,31,,16463998068
10175,Active,Frac Coco Oil 32oz,Sell-Liquid Bottles F-Style,0.84,FracCoconutOil32oz,27,oz,32,1,,1/8/2018,0,,31,,16463998075
10176,Active,Frac Coco Oil 64oz,Sell-Liquid Bottles F-Style,3.41,FracCoconutOil64oz,36,oz,64,1,,1/8/2018,0,,31,,16463998082
10177,Active,Frac Coco Oil 8oz,Sell-Liquid Bottles F-Style,0.27,FracCoconutOil8oz,9.5,oz,8,1,,1/8/2018,0,,31,,16463998051
10178,Active,Glycerin (1 Gallon 128 fl oz) POI,Sell-Liquid Bottles F-Style,12.52,POIGlycerin128oz,36.95,oz,128,1,,1/8/2018,0,10,31,10,16463998181
10179,Active,Glycerin (8 fl oz Weight 12 oz) POI,Sell-Liquid Bottles F-Style,1.96,POIGlycerin8oz,9.75,oz,8,1,,1/8/2018,0,0.5,31,0.5,16463997801
10180,Active,BENTONITE KWK GRANULAR (B/O 45 DAY LEAD TIME) VOLCLAY FCC (50 LBS) B/O,RAW BULK,13.025,,,pound,50,0,1,,0,50,,50,
10181,Active,Granular Sodium Bentonite (5 lb) POI,Sell-Powder,3.33,GranSoBent80oz,14.5,oz,80,1,,1/8/2018,0,5,31,5,16463998440
10182,Active,Indian Healing Clay (2 lb.) POI,Sell-Powder,7.54,HealingClay32oz,20.95,oz,32,1,,8/2/2018,0,,31,,16463997979
10183,Active,Indian Healing Clay (3 lb.) POI,Sell-Powder,10.67,HealingClay3lb,29.95,oz,48,1,,7/8/2018,0,,31,,7.42309E+11
10184,Active,Indian Healing Clay (5 lb.) POI,Sell-Powder,17.03,HealingClay5lb,39.95,oz,80,1,,7/18/2018,0,,31,,7.42309E+11
10186,Active,Ice Melt (3.5 Gallon (25 lbs)) EBE (Lower Feb 1) (Raise Nov 1),Sell-Powder,16.96,Icemelt3.5gallon,59.99,gallon,63,1,,1/8/2018,0,25,31,25,
10187,Active,Juniper Berry 15ml,Sell-Essential Oils,0.51,JBEO15mL,9.95,ml,2,1,,1/8/2018,0,,31,,16463997177
10188,Active,Magnesium Chloride 16oz POI,Sell-Powder,4.06,MagnesiumChlor16oz,14.95,oz,16,1,,1/8/2018,0,1,31,1,16463998488
10189,Active,Magnesium Chloride 32oz POI,Sell-Powder,6.89,MagnesiumChlor32oz,21.55,oz,32,1,,1/8/2018,0,2,31,2,16463998495
10190,Active,Magnesium Chloride (4 oz) POI,Sell-Powder,1.72,MagnesiumChlor4oz,7.25,oz,4,1,,1/8/2018,0,0.25,31,0.25,16463998471
